2015,,,
UF = Rondônia,Admitidos,Desligados,Saldo
Extrativa mineral,56,-77,-21
Indústria de transformação,18,-19,-1
Serviços Industriais de Utilidade Pública,1,-1,109
Construção Civil,44,-52,-8
Comércio,97,-98,-1
Serviços,201,-189,13
Administração Pública,911,-935,-24
"  Agropecuária, extração vegetal, caça e pesca",4,-4,-288
Total,365,-364,2
,,,
,,,
UF = Brasil,Admitidos,Desligados,Saldo
Extrativa mineral,53,-56,-3
Indústria de transformação,"  3,567,860 ","- 3,754,400 ",-187
Serviços Industriais de Utilidade Pública,97,-93,4
Construção Civil,"  2,533,208 ","- 2,678,494 ",-145
Comércio,"  5,098,170 ","- 4,973,332 ",125
Serviços,"  8,127,991 ","- 7,754,893 ",373
Administração Pública,91,-85,6
"  Agropecuária, extração vegetal, caça e pesca","  1,092,381 ","- 1,113,261 ",-21
Total,"  20,661,059 ","- 20,508,345 ",153
